START
ARGS: {'datadir': PosixPath('../data/all_midi_tensors'), 'modeldir': PosixPath('../models'), 'outdir': PosixPath('../results'), 'resname': 'mae', 'norm': False, 'batchsize': 10, 'lossfunction': False, 'loglevel': 'WARNING'}
no file
Device: cuda
NEW MAX BATCH SIZE: 11665408
NEW MAX BATCH SIZE: 14811136
NEW MAX BATCH SIZE: 18350080
NEW MAX BATCH SIZE: 18612224
NEW MAX BATCH SIZE: 33554432
100 iterations
recon_error: 0.029
total_loss: 0.030572
perplexity: 1.044

200 iterations
recon_error: 0.015
total_loss: 0.015108
perplexity: 1.000

300 iterations
recon_error: 0.014
total_loss: 0.014264
perplexity: 1.000

400 iterations
recon_error: 0.012
total_loss: 0.012324
perplexity: 1.000

500 iterations
recon_error: 0.011
total_loss: 0.011445
perplexity: 1.000

600 iterations
recon_error: 0.010
total_loss: 0.010275
perplexity: 1.000

700 iterations
recon_error: 0.010
total_loss: 0.009677
perplexity: 1.000

800 iterations
recon_error: 0.010
total_loss: 0.010442
perplexity: 1.000

900 iterations
recon_error: 0.010
total_loss: 0.009581
perplexity: 1.000

1000 iterations
recon_error: 0.010
total_loss: 0.009715
perplexity: 1.000

1100 iterations
recon_error: 0.010
total_loss: 0.009693
perplexity: 1.000

1200 iterations
recon_error: 0.010
total_loss: 0.009842
perplexity: 1.000

1300 iterations
recon_error: 0.010
total_loss: 0.010312
perplexity: 1.000

1400 iterations
recon_error: 0.010
total_loss: 0.010373
perplexity: 1.000

1500 iterations
recon_error: 0.009
total_loss: 0.008782
perplexity: 1.000

1600 iterations
recon_error: 0.009
total_loss: 0.009195
perplexity: 1.000

1700 iterations
recon_error: 0.009
total_loss: 0.009229
perplexity: 1.000

1800 iterations
recon_error: 0.010
total_loss: 0.010052
perplexity: 1.000

1900 iterations
recon_error: 0.009
total_loss: 0.009311
perplexity: 1.000

2000 iterations
recon_error: 0.009
total_loss: 0.009176
perplexity: 1.000

2100 iterations
recon_error: 0.009
total_loss: 0.009018
perplexity: 1.000

2200 iterations
recon_error: 0.010
total_loss: 0.009717
perplexity: 1.000

2300 iterations
recon_error: 0.009
total_loss: 0.008947
perplexity: 1.000

2400 iterations
recon_error: 0.009
total_loss: 0.009345
perplexity: 1.000

2500 iterations
recon_error: 0.009
total_loss: 0.009036
perplexity: 1.000

NEW MAX BATCH SIZE: 35389440
2600 iterations
recon_error: 0.008
total_loss: 0.008226
perplexity: 1.000

2700 iterations
recon_error: 0.009
total_loss: 0.009294
perplexity: 1.000

2800 iterations
recon_error: 0.009
total_loss: 0.008735
perplexity: 1.000

2900 iterations
recon_error: 0.010
total_loss: 0.009652
perplexity: 1.000

3000 iterations
recon_error: 0.009
total_loss: 0.008786
perplexity: 1.000

3100 iterations
recon_error: 0.009
total_loss: 0.009164
perplexity: 1.000

3200 iterations
recon_error: 0.009
total_loss: 0.008705
perplexity: 1.000

3300 iterations
recon_error: 0.010
total_loss: 0.009717
perplexity: 1.000

3400 iterations
recon_error: 0.009
total_loss: 0.008627
perplexity: 1.000

3500 iterations
recon_error: 0.009
total_loss: 0.008765
perplexity: 1.000

3600 iterations
recon_error: 0.009
total_loss: 0.008725
perplexity: 1.000

3700 iterations
recon_error: 0.009
total_loss: 0.008545
perplexity: 1.000

3800 iterations
recon_error: 0.009
total_loss: 0.008865
perplexity: 1.000

3900 iterations
recon_error: 0.008
total_loss: 0.008383
perplexity: 1.000

4000 iterations
recon_error: 0.009
total_loss: 0.008751
perplexity: 1.000

4100 iterations
recon_error: 0.008
total_loss: 0.008411
perplexity: 1.000

4200 iterations
recon_error: 0.008
total_loss: 0.008328
perplexity: 1.000

4300 iterations
recon_error: 0.008
total_loss: 0.008481
perplexity: 1.000

4400 iterations
recon_error: 0.009
total_loss: 0.009038
perplexity: 1.000

4500 iterations
recon_error: 0.009
total_loss: 0.008913
perplexity: 1.000

4600 iterations
recon_error: 0.009
total_loss: 0.008568
perplexity: 1.000

4700 iterations
recon_error: 0.008
total_loss: 0.008114
perplexity: 1.000

4800 iterations
recon_error: 0.008
total_loss: 0.008366
perplexity: 1.000

4900 iterations
recon_error: 0.009
total_loss: 0.008627
perplexity: 1.000

5000 iterations
recon_error: 0.008
total_loss: 0.008289
perplexity: 1.000

5100 iterations
recon_error: 0.009
total_loss: 0.008860
perplexity: 1.000

5200 iterations
recon_error: 0.009
total_loss: 0.008727
perplexity: 1.000

5300 iterations
recon_error: 0.008
total_loss: 0.008340
perplexity: 1.000

5400 iterations
recon_error: 0.008
total_loss: 0.008172
perplexity: 1.000

5500 iterations
recon_error: 0.009
total_loss: 0.008905
perplexity: 1.000

5600 iterations
recon_error: 0.008
total_loss: 0.008110
perplexity: 1.000

5700 iterations
recon_error: 0.009
total_loss: 0.009010
perplexity: 1.000

5800 iterations
recon_error: 0.009
total_loss: 0.008585
perplexity: 1.000

5900 iterations
recon_error: 0.008
total_loss: 0.008416
perplexity: 1.000

6000 iterations
recon_error: 0.008
total_loss: 0.008419
perplexity: 1.000

6100 iterations
recon_error: 0.008
total_loss: 0.008223
perplexity: 1.000

6200 iterations
recon_error: 0.008
total_loss: 0.007965
perplexity: 1.000

6300 iterations
recon_error: 0.008
total_loss: 0.008027
perplexity: 1.000

6400 iterations
recon_error: 0.009
total_loss: 0.009104
perplexity: 1.000

6500 iterations
recon_error: 0.008
total_loss: 0.008272
perplexity: 1.000

6600 iterations
recon_error: 0.008
total_loss: 0.008151
perplexity: 1.000

6700 iterations
recon_error: 0.008
total_loss: 0.008095
perplexity: 1.000

6800 iterations
recon_error: 0.008
total_loss: 0.008366
perplexity: 1.000

6900 iterations
recon_error: 0.008
total_loss: 0.008236
perplexity: 1.000

7000 iterations
recon_error: 0.009
total_loss: 0.008549
perplexity: 1.000

7100 iterations
recon_error: 0.008
total_loss: 0.008184
perplexity: 1.000

7200 iterations
recon_error: 0.008
total_loss: 0.008090
perplexity: 1.000

7300 iterations
recon_error: 0.008
total_loss: 0.008140
perplexity: 1.000

7400 iterations
recon_error: 0.009
total_loss: 0.008672
perplexity: 1.000

NEW MAX BATCH SIZE: 38010880
7500 iterations
recon_error: 0.008
total_loss: 0.007518
perplexity: 1.000

7600 iterations
recon_error: 0.008
total_loss: 0.008205
perplexity: 1.000

7700 iterations
recon_error: 0.008
total_loss: 0.008362
perplexity: 1.000

7800 iterations
recon_error: 0.008
total_loss: 0.008191
perplexity: 1.000

7900 iterations
recon_error: 0.008
total_loss: 0.007955
perplexity: 1.000

8000 iterations
recon_error: 0.008
total_loss: 0.007821
perplexity: 1.000

8100 iterations
recon_error: 0.008
total_loss: 0.008354
perplexity: 1.000

8200 iterations
recon_error: 0.008
total_loss: 0.008452
perplexity: 1.000

NUM NAN FILES: 0
no file
SAVING FILE TO: ../results/results_mae-2021-11-280.yaml
All done! TOTAL TIME: 15941.416269302368
