START
ARGS: {'datadir': PosixPath('../data/all_midi_tensors'), 'modeldir': PosixPath('../models'), 'outdir': PosixPath('../results'), 'resname': 'msenorm', 'norm': True, 'batchsize': 10, 'lossfunction': True, 'loglevel': 'WARNING'}
no file
Device: cuda
NEW MAX BATCH SIZE: 13107200
NEW MAX BATCH SIZE: 14286848
NEW MAX BATCH SIZE: 16646144
NEW MAX BATCH SIZE: 17956864
NEW MAX BATCH SIZE: 19529728
100 iterations
recon_error: 0.002
total_loss: 0.001809
perplexity: 1.000

NEW MAX BATCH SIZE: 19660800
200 iterations
recon_error: 0.000
total_loss: 0.000206
perplexity: 1.000

300 iterations
recon_error: 0.000
total_loss: 0.000198
perplexity: 1.000

400 iterations
recon_error: 0.000
total_loss: 0.000493
perplexity: 1.000

NEW MAX BATCH SIZE: 22020096
500 iterations
recon_error: 0.000
total_loss: 0.000973
perplexity: 1.000

600 iterations
recon_error: 0.000
total_loss: 0.000552
perplexity: 1.000

NEW MAX BATCH SIZE: 23855104
700 iterations
recon_error: 0.000
total_loss: 0.000359
perplexity: 1.000

800 iterations
recon_error: 0.000
total_loss: 0.000271
perplexity: 1.000

900 iterations
recon_error: 0.000
total_loss: 0.000281
perplexity: 1.000

1000 iterations
recon_error: 0.000
total_loss: 0.000259
perplexity: 1.000

1100 iterations
recon_error: 0.000
total_loss: 0.000245
perplexity: 1.000

1200 iterations
recon_error: 0.000
total_loss: 0.000270
perplexity: 1.000

1300 iterations
recon_error: 0.000
total_loss: 0.000249
perplexity: 1.000

1400 iterations
recon_error: 0.000
total_loss: 0.000246
perplexity: 1.000

1500 iterations
recon_error: 0.000
total_loss: 0.000266
perplexity: 1.000

1600 iterations
recon_error: 0.000
total_loss: 0.000240
perplexity: 1.000

NEW MAX BATCH SIZE: 34078720
1700 iterations
recon_error: 0.000
total_loss: 0.000250
perplexity: 1.000

1800 iterations
recon_error: 0.000
total_loss: 0.000261
perplexity: 1.000

1900 iterations
recon_error: 0.000
total_loss: 0.000236
perplexity: 1.000

2000 iterations
recon_error: 0.000
total_loss: 0.000255
perplexity: 1.000

2100 iterations
recon_error: 0.000
total_loss: 0.000256
perplexity: 1.000

2200 iterations
recon_error: 0.000
total_loss: 0.000235
perplexity: 1.000

2300 iterations
recon_error: 0.000
total_loss: 0.000260
perplexity: 1.000

NEW MAX BATCH SIZE: 34996224
2400 iterations
recon_error: 0.000
total_loss: 0.000250
perplexity: 1.000

2500 iterations
recon_error: 0.000
total_loss: 0.000238
perplexity: 1.000

2600 iterations
recon_error: 0.000
total_loss: 0.000262
perplexity: 1.000

2700 iterations
recon_error: 0.000
total_loss: 0.000243
perplexity: 1.000

2800 iterations
recon_error: 0.000
total_loss: 0.000242
perplexity: 1.000

2900 iterations
recon_error: 0.000
total_loss: 0.000262
perplexity: 1.000

3000 iterations
recon_error: 0.000
total_loss: 0.000238
perplexity: 1.000

3100 iterations
recon_error: 0.000
total_loss: 0.000248
perplexity: 1.000

3200 iterations
recon_error: 0.000
total_loss: 0.000259
perplexity: 1.000

3300 iterations
recon_error: 0.000
total_loss: 0.000235
perplexity: 1.000

3400 iterations
recon_error: 0.000
total_loss: 0.000254
perplexity: 1.000

3500 iterations
recon_error: 0.000
total_loss: 0.000255
perplexity: 1.000

3600 iterations
recon_error: 0.000
total_loss: 0.000235
perplexity: 1.000

3700 iterations
recon_error: 0.000
total_loss: 0.000259
perplexity: 1.000

3800 iterations
recon_error: 0.000
total_loss: 0.000248
perplexity: 1.000

3900 iterations
recon_error: 0.000
total_loss: 0.000238
perplexity: 1.000

4000 iterations
recon_error: 0.000
total_loss: 0.000262
perplexity: 1.000

4100 iterations
recon_error: 0.000
total_loss: 0.000242
perplexity: 1.000

4200 iterations
recon_error: 0.000
total_loss: 0.000242
perplexity: 1.000

4300 iterations
recon_error: 0.000
total_loss: 0.000262
perplexity: 1.000

4400 iterations
recon_error: 0.000
total_loss: 0.000237
perplexity: 1.000

4500 iterations
recon_error: 0.000
total_loss: 0.000249
perplexity: 1.000

4600 iterations
recon_error: 0.000
total_loss: 0.000258
perplexity: 1.000

4700 iterations
recon_error: 0.000
total_loss: 0.000235
perplexity: 1.000

4800 iterations
recon_error: 0.000
total_loss: 0.000255
perplexity: 1.000

4900 iterations
recon_error: 0.000
total_loss: 0.000253
perplexity: 1.000

5000 iterations
recon_error: 0.000
total_loss: 0.000235
perplexity: 1.000

5100 iterations
recon_error: 0.000
total_loss: 0.000260
perplexity: 1.000

5200 iterations
recon_error: 0.000
total_loss: 0.000247
perplexity: 1.000

5300 iterations
recon_error: 0.000
total_loss: 0.000238
perplexity: 1.000

5400 iterations
recon_error: 0.000
total_loss: 0.000262
perplexity: 1.000

5500 iterations
recon_error: 0.000
total_loss: 0.000241
perplexity: 1.000

5600 iterations
recon_error: 0.000
total_loss: 0.000243
perplexity: 1.000

5700 iterations
recon_error: 0.000
total_loss: 0.000261
perplexity: 1.000

5800 iterations
recon_error: 0.000
total_loss: 0.000236
perplexity: 1.000

5900 iterations
recon_error: 0.000
total_loss: 0.000250
perplexity: 1.000

6000 iterations
recon_error: 0.000
total_loss: 0.000258
perplexity: 1.000

6100 iterations
recon_error: 0.000
total_loss: 0.000234
perplexity: 1.000

6200 iterations
recon_error: 0.000
total_loss: 0.000256
perplexity: 1.000

6300 iterations
recon_error: 0.000
total_loss: 0.000253
perplexity: 1.000

6400 iterations
recon_error: 0.000
total_loss: 0.000235
perplexity: 1.000

6500 iterations
recon_error: 0.000
total_loss: 0.000260
perplexity: 1.000

6600 iterations
recon_error: 0.000
total_loss: 0.000246
perplexity: 1.000

6700 iterations
recon_error: 0.000
total_loss: 0.000239
perplexity: 1.000

6800 iterations
recon_error: 0.000
total_loss: 0.000262
perplexity: 1.000

6900 iterations
recon_error: 0.000
total_loss: 0.000240
perplexity: 1.000

7000 iterations
recon_error: 0.000
total_loss: 0.000244
perplexity: 1.000

NEW MAX BATCH SIZE: 35651584
7100 iterations
recon_error: 0.000
total_loss: 0.000261
perplexity: 1.000

7200 iterations
recon_error: 0.000
total_loss: 0.000236
perplexity: 1.000

7300 iterations
recon_error: 0.000
total_loss: 0.000251
perplexity: 1.000

